Nro,CODIGO,X,Y,ALTURA,SITIO,FUENTE,CAMPAÑA,AÑO,FECHA,DATUM,ZONA,PROVINCIA,CANTON,PARROQUIA,DEMARCACION HIDROGRAFICA,CUENCA,SUBCUENCA, CODIGO UNIDAD HIDROGRAFICA PFAFSTETTER, UNIDAD HIDROGRAFICA PFAFSTETTER,TIPO DE MUESTRA,NUMERO DE ORDEN DE TRABAJO
1,DHS-CP-01,688409,9672210,3568,YANUNCAY,RIO CAN CAN,CAMPAÑA 1,2013,11/11/2013,WGS84,17 S,AZUAY,CUENCA,BAÑOS,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
2,DHS-CP-02,721840,9677507,2520,ESTACION ETAPA YANUNCAY,RIO YANUNCAY AJ TARQUI,CAMPAÑA 1,2013,11/11/2013,WGS84,17 S,AZUAY,CUENCA,CUENCA,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
3,DHS-CP-03,722008,9677359,2518,YANUNCAY/TARQUI,RIO TARQUI AJ YANUNCAY,CAMPAÑA 1,2013,11/11/2013,WGS84,17 S,AZUAY,CUENCA,CUENCA,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
4,DHS-CP-04,709517,9656919,2774,TARQUI,RIO PORTETE,CAMPAÑA 1,2013,12/11/2013,WGS84,17 S,AZUAY,CUENCA,VICTORIA DEL PORTETE (IRQUIS),SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
5,DHS-CP-05,703678,9692714,3489,TOMEBAMBA(HOSTERIA DOS CHORERAS),BLANCO DEL RIO TOMEBAMBA,CAMPAÑA 1,2013,12/11/2013,WGS84,17 S,AZUAY,CUENCA,SAYAUSI,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
6,DHS-CP-06,717191,9680731,2624,PUENTE SAN JOAQUIN,RIO TOMEBAMBA AJ PAUTE,CAMPAÑA 1,2013,16/11/2013,WGS84,17 S,AZUAY,CUENCA,CUENCA,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
7,DHS-CP-07,726952,9680931,2359,URBANIZACION TERRANOVA,RIO MACHANGARA,CAMPAÑA 1,2013,12/11/2013,WGS84,17 S,AZUAY,CUENCA,CUENCA,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
8,DHS-CP-08,728348,9682115,2415,PTAR ETAPA UCUBAMBA,RIO PAUTE,CAMPAÑA 1,2013,12/11/2013,WGS84,17 S,AZUAY,CUENCA,CUENCA,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
9,DHS-CP-09,720292,9693207,2964,CHACAYAGU,CHACAYAGU BLANCO RIO MACHANGARA,CAMPAÑA 1,2013,15/11/2013,WGS84,17 S,AZUAY,CUENCA,CHIQUINTAD,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
10,DHS-CP-10,737058,9702473,2866,SECTOR BURGAY,BLANCO DEL RIO BURGAY,CAMPAÑA 1,2013,15/11/2013,WGS84,17 S,CAÑAR,AZOGUES,GUAPAN,SANTIAGO,CUENCA RIO SANTIAGO,RIO PAUTE,49982,CUENCA RIO PAUTE,SIMPLE,031-2013-SENAGUA-DNCA-STRH
