No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
1,ANALISTA PROMOTOR LABORAL  ,3,950,"11,400.00",554.19,225.19,0,0,779.38
2,ASISTENTE DE LENGUA DE SEÑAS  ,2,687,"8,244.00",400.75,225.19,0,0,625.94
3,COORDINADOR JURÍDICO  ,5,"2,953.00","35,436.00","1,722.56",225.19,0,0,"1,947.75"
4,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
5,AYUDANTE AUTOMOTRIZ  ,1,531,"6,372.00",309.75,225.19,0,0,534.94
6,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",391.85,225.19,362.32,"2,765.00","3,744.36"
7,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",361.69,225.19,0,"2,765.00","3,351.88"
8,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
9,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",645.59,225.19,642.1,0,"1,512.88"
10,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
11,SUPERVISOR DE SEGURIDAD Y AMBIENTE ( E ) ,5,"1,875.00","22,500.00","1,093.75",225.19,0,"2,380.00","3,698.94"
12,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
13,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
14,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
15,GEÓLOGO DE EXPLORACIÓN  ( S ),5,"2,953.00","35,436.00","1,722.56",225.19,0,"4,156.10","6,103.85"
16,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
17,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
18,ANALISTA DE TI  ( S ),3,620,"7,440.00",361.69,225.19,0,"6,072.00","6,658.88"
19,OPERADOR DE PLANTA  ,3,"1,541.00","18,492.00","1,017.29",225.19,"1,420.42",0,"2,662.90"
20,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",849.48,225.19,855.99,0,"1,930.66"
21,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",687.02,225.19,635.24,0,"1,547.45"
22,AYUDANTE DE CONSTRUCCIONES  ,1,"1,087.00","13,044.00",635.66,225.19,19.14,0,879.99
23,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.58,225.19,749,0,"1,814.77"
24,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
25,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
26,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
27,COORDINADOR DE INGENIERÍA ELÉCTRICA  ,5,"4,000.00","48,000.00","2,702.77",225.19,"4,433.33",0,"7,361.29"
28,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",684.95,225.19,610.33,0,"1,520.47"
29,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",846.94,225.19,825.43,0,"1,897.56"
30,TÉCNICO ELÉCTRICO (PLANTA DE GENERACIÓN)  ,3,"2,257.00","27,084.00","1,316.56",225.19,0,0,"1,541.75"
31,INSPECTOR DE CONSTRUCCIONES ( E ) ,3,"1,638.00","19,656.00",969.42,225.19,167.05,"2,527.00","3,888.66"
32,TÉCNICO LÍDER AUTOMOTRIZ ( E ) ,4,"1,334.00","16,008.00",778.19,225.19,0,"1,155.00","2,158.38"
33,ABOGADO  ,4,"2,500.00","30,000.00","1,458.31",225.19,0,600,"2,283.50"
34,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
35,COORDINADOR DE RECURSOS HUMANOS ( E ) ,5,"2,229.00","26,748.00","1,300.25",225.19,0,"1,285.13","2,810.57"
36,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",646.34,225.19,651.29,0,"1,522.82"
37,SUPERVISOR DE TECNOLOGÍAS AMBIENTALES  ,5,"2,599.00","31,188.00","1,516.06",225.19,0,0,"1,741.25"
38,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",836.76,225.19,703.15,0,"1,765.10"
39,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
40,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
41,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
42,ASISTENTE DE CONTROL DE COSTOS  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
43,TÉCNICO ELÉCTRICO (SUBESTACIONES) ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,080.33","2,667.20"
44,ESPECIALISTA DE CONTABILIDAD  ,4,"1,999.00","23,988.00","1,176.13",225.19,120.78,0,"1,522.10"
45,TÉCNICO DE INTEGRIDAD MECÁNICA ( E ) ,3,885,"10,620.00",516.25,225.19,0,910,"1,651.44"
46,OPERADOR DE ISLA  ,3,"2,023.00","24,276.00","1,309.50",225.19,"1,553.06",0,"3,087.75"
47,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",661.51,225.19,833.12,0,"1,719.82"
48,SUPERVISOR MECÁNICO  ,5,"2,599.00","31,188.00","1,536.35",225.19,243.39,0,"2,004.93"
49,SUPERVISOR DE PLANTA DE GENERACIÓN  ,5,"2,599.00","31,188.00","1,544.83",225.19,345.18,0,"2,115.20"
50,COORDINADOR DE CONTABILIDAD  ( S ),5,"2,229.00","26,748.00","1,350.18",225.19,599.05,"3,155.00","5,329.42"
51,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,400.00","28,800.00","1,400.00",225.19,0,0,"1,625.19"
52,TÉCNICO INSTRUMENTISTA  ,3,"1,350.00","16,200.00",916.98,225.19,"1,553.80",0,"2,695.97"
53,TÉCNICO DE SEGURIDAD Y AMBIENTE  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
54,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",418.64,225.19,15.65,0,659.48
55,OPERADOR DE VACUUM  ,2,906.3,"10,875.60",528.71,225.19,0,0,753.9
56,AYUDANTE DE PRODUCCIÓN  ,1,715.45,"8,585.40",417.34,225.19,0,0,642.53
57,JEFE DE SEGURIDAD FÍSICA ( E ) ,6,"3,030.00","36,360.00","1,767.50",225.19,0,"8,792.27","10,784.96"
58,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",675.59,225.19,498.23,0,"1,399.01"
59,COORDINADOR DE CONTRATOS  ,5,"3,868.00","46,416.00","2,256.31",225.19,0,0,"2,481.50"
60,AYUDANTE DE ALMACÉN  ,1,752,"9,024.00",438.69,225.19,0,0,663.88
61,ASISTENTE OPERADOR CALL CENTER  ,2,580,"6,960.00",338.31,225.19,0,0,563.5
62,SUPERINTENDENTE DE REMEDIACIÓN DE PASIVOS  ,6,"4,100.00","49,200.00","2,391.69",225.19,0,0,"2,616.88"
63,OPERADOR DE ISLA ( E ) ,3,627.45,"7,529.40",397.17,225.19,373.88,"2,712.50","3,708.74"
64,TÉCNICO ELÉCTRICO  ,3,"1,015.00","12,180.00",174.8,64.34,0,0,239.14
65,OPERADOR DE ISLA ( E ) ,3,620,"7,440.00",361.68,225.19,0,513.5,"1,100.37"
66,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",363.29,225.19,19.38,0,607.86
67,TÉCNICO DE LABORATORIO ( E ) ,3,916,"10,992.00",534.31,225.19,0,693,"1,452.50"
68,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
69,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",365.87,225.19,50.31,0,641.37
70,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
71,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
72,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",597.1,225.19,60.27,0,882.56
73,OPERADOR DE EQUIPO PESADO  ,3,"1,196.00","14,352.00",697.69,225.19,0,0,922.88
74,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",601.85,225.19,117.26,0,944.3
75,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",643.29,225.19,614.44,0,"1,482.92"
76,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"3,275.00","39,300.00","1,910.44",225.19,0,0,"2,135.63"
77,COORDINADOR LOGÍSTICO DE PERFORACIÓN ( E ) ,5,"1,560.00","18,720.00","1,287.11",225.19,"4,525.35","4,585.00","10,622.65"
78,CONDUCTOR  ,1,683,"8,196.00",398.44,225.19,0,0,623.63
79,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
80,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
81,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",685.99,225.19,622.78,0,"1,533.96"
82,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",840.56,225.19,749,0,"1,814.75"
83,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
84,COORDINADOR DE PROYECTOS ( E ) ,5,"3,200.00","38,400.00","1,866.69",225.19,0,0,"2,091.88"
85,ANALISTA DE CONTROL DE ACTIVOS  ,3,"1,310.00","15,720.00",764.19,225.19,0,0,989.38
86,ANALISTA DE CONTROL DE COSTOS  ,3,"1,310.00","15,720.00",819.6,225.19,665.1,0,"1,709.89"
87,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
88,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
89,SUPERVISOR ELÉCTRICO  ,5,"2,983.00","35,796.00","1,967.93",225.19,"2,734.42",0,"4,927.54"
90,TÉCNICO INSTRUMENTISTA  ,3,"1,015.00","12,180.00",602.37,225.19,123.61,0,951.17
