id,label,type,Codigo,Provincia,Canton,Parroquia,Distrito,Area,Jefatura,Unidad_operativa,Tipo_atencion,Zona_administrativa,Poblacion_2009,Tipo_via,Direccion_unidad_operativa,Telefono,Tipologia,Nivel,Atencion,Dotacion_camas,Geolatlon,Lat,Lon,Easting,Northing,Cobertura,No_licencia,U_o_tambien_conocida_como,Licencia_cond,Poblacion_2010,Licencia,Distancia_mint_Jefatura,Distancia_km_jefatura,Direccion_alternativa/0,Referencia_unidad_operativa
1-011001001,1-011001001,Item,11001001,IMBABURA,IBARRA,SAGRARIO,10D01,1,Por determinar,Dirección Provincial de Salud,ADMINISTRATIVO,1,Desconocido,1er. ORDEN,OVIEDO Y SUCRE,62950011,,,,,,,,,,,,,,,,,,,
2-011001010,2-011001010,Item,11001010,IMBABURA,IBARRA,,10D01,2,Por determinar,San Vicente de Paúl,AMBULATORIO / HOSPIT,1,Desconocido,1er. ORDEN,LUIS VARGAS TORRES 1156 Y SUCRE,62957261,HG,2DO NIVEL,AGUDO,166,"0.3531122,-78.1257873",0.3531122,-78.1257873,819957,10039079,PROVINCIAL,72.51,,,,,,,,
3-011001011,3-011001011,Item,11001011,IMBABURA,IBARRA,SAGRARIO,10D01,1,Por determinar,Lucía Maya (Asilo),,1,Desconocido,1er. ORDEN,,,HE,,GERIATRICO (ASILO),,,,,,,PROVINCIAL,,Asilo Lucia Maya,,,,,,,
4-011001012,4-011001012,Item,11001012,IMBABURA,IBARRA,SAGRARIO,10D01,1,Por determinar,León Ruales (Asilo),,1,Desconocido,1er. ORDEN,,,HE,,GERIATRICO (ASILO),,,,,,,PROVINCIAL,,,,,,,,,
5-011001500,5-011001500,Item,11001500,IMBABURA,,,,,Por determinar,Unidad Móvil,,1,Desconocido,,,,UM,,UNIDAD MOVIL,,,,,,,,,,80,,,,,,
6-011001050,6-011001050,Item,11001050,IMBABURA,IBARRA,SAGRARIO,10D01,1,Centro de Salud No. 1,Centro de Salud No. 1,AMBULATORIO,1,98129,,GARCIA MORENO 334  ENTRE ROCAFUERTE Y MALDONADO,062952800 - 062957261,CS,1ER NIVEL,,,"0.3547257,-78.1134993",0.3547257,-78.1134993,821326,10039258,CANTONAL,,,,99901,91,,,,
7-011001250,7-011001250,Item,11001250,IMBABURA,IBARRA,SAGRARIO,10D01,1,Centro de Salud No. 1,Priorato,AMBULATORIO,1,4207,1er. ORDEN,SAN MARCOS Y CUBILCHE,,CSU,1ER NIVEL,,,"0.3849034,-78.1083825",0.3849034,-78.1083825,821895,10042598,CANTONAL,,,88,4283,,6,15,,
8-011001251,8-011001251,Item,11001251,IMBABURA,IBARRA,SAN FRANCISCO,10D01,1,Centro de Salud No. 1,El Tejar,AMBULATORIO,1,5607,2do. ORDEN,SAN FRANCISCO Y CHE GUEVARA,,CSU,1ER NIVEL,,,"0.3291527,-78.1070357",0.3291527,-78.1070357,822047,10036428,CANTONAL,,,,5709,91,3,6,,
9-011001252,9-011001252,Item,11001252,IMBABURA,IBARRA,SAN FRANCISCO,10D01,1,Centro de Salud No. 1,Pugacho,AMBULATORIO,1,4206,2do. ORDEN,10 DE AGOSTO,62642809,CSU,1ER NIVEL,,,"0.3461873,-78.1442432",0.3461873,-78.1442432,817901,10038312,CANTONAL,,,,4282,93,1,5,,
10-011001263,10-011001263,Item,11001263,IMBABURA,IBARRA,SAN FRANCISCO,10D01,1,Por determinar,Azaya,AMBULATORIO,1,Desconocido,1er. ORDEN,LOMAS DE AZAYA,,CSU,1ER NIVEL,,,"0.3705443,-78.1317146",0.3705443,-78.1317146,819296,10041008,CANTONAL,63,,,,,6,15,CIUDADELA SAN FRANCISCO - AZAYA,
11-011001253,11-011001253,Item,11001253,IMBABURA,IBARRA,GUAYAQUIL DE ALPACHACA,10D01,1,Centro de Salud No. 1,Alpachaca,AMBULATORIO,1,18224,1er. ORDEN,CUENCA Y GUAYAQUIL,62952800,CSU,1ER NIVEL,,,"0.3650055,-78.1323716",0.3650055,-78.1323716,819223,10040395,CANTONAL,,,,18553,96,1,5,,CERCA DE LA CANCHA
12-011001254,12-011001254,Item,11001254,IMBABURA,IBARRA,CARANQUI,10D01,1,Centro de Salud No. 1,Caranqui,AMBULATORIO,1,8707,1er. ORDEN,AVE ATAHUALPA Y CALLE AL CEMENTERIO,62650378,CSU,1ER NIVEL,,,"0.3192812,-78.1232302",0.3192812,-78.1232302,820243,10035335,CANTONAL,,,,8864,95,2,8,AV. ATAHUALPA 3354 y Pintag,
13-011001255,13-011001255,Item,11001255,IMBABURA,IBARRA,AMBUQUI,10D01,1,Centro de Salud No. 1,Carpuela,AMBULATORIO,1,1105,1er. ORDEN,,,CSR,1ER NIVEL,,,"0.444835,-77.9922760",0.444835,-77.992276,83482919261,100492359216,CANTONAL,,,89,1125,,44,60,,JUNTO AL ESTADIO
14-011001256,14-011001256,Item,11001256,IMBABURA,IBARRA,AMBUQUI,,1,Centro de Salud No. 1,Ambuquí,AMBULATORIO,1,6399,1er. ORDEN,ISIDRO AYORA,,CSR,1ER NIVEL,,,"0.4326277,-78.0097472",0.4326277,-78.0097472,832883,10047884,CANTONAL,,,,6515,93,43,60,,
15-011001257,15-011001257,Item,11001257,IMBABURA,IBARRA,ANGOCHAHUA,10D01,1,Centro de Salud No. 1,Zuleta (Angochahua),AMBULATORIO,1,4533,1er. ORDEN,SECTOR CARLOSAMA,62662144,CSR,1ER NIVEL,,,"0.2106199,-78.0943548",0.2106199,-78.0943548,823463,10023310,CANTONAL,,,86,4615,,13.4,20,,Cerca a la escuela Galo Plaza
16-011001258,16-011001258,Item,11001258,IMBABURA,IBARRA,CAROLINA,10D01,1,Centro de Salud No. 1,La Carolina,AMBULATORIO,1,3459,1er. ORDEN,CALLE PRINCIPAL,,CSR,1ER NIVEL,,,"0.7461652,-78.2419626",0.7461652,-78.2419626,806994,1008257000001,CANTONAL,,,87,3521,,63,120,,
17-011001259,17-011001259,Item,11001259,IMBABURA,IBARRA,LA ESPERANZA,10D01,1,Centro de Salud No. 1,La Esperanza,AMBULATORIO,1,8033,2do. ORDEN,DOLORES Y GOMEZ DE LA TORRE,62660280,CSR,1ER NIVEL,,,"0.2972058,-78.1200857",0.2972058,-78.1200857,820594,10032892,CANTONAL,,,,8178,94,7.7,15,Manuel Freire y Dolores de la Torre,
18-011001260,18-011001260,Item,11001260,IMBABURA,IBARRA,LITA,10D01,1,Centro de Salud No. 1,Lita,AMBULATORIO,1,2903,1er. ORDEN,CALLE PRINCIPAL s/n,62677051,CSR,1ER NIVEL,,,"0.873670,-78.4471980",0.87367,-78.447198,78412475505,1009666342127,CANTONAL,,,,2955,93,94,150,,
19-011001261,19-011001261,Item,11001261,IMBABURA,IBARRA,SALINAS,10D01,1,Centro de Salud No. 1,Salinas,AMBULATORIO,1,2038,1er. ORDEN,Velásco Ibarra y Angel Aguirre s/n,62665189,CSR,1ER NIVEL,,,"0.4954651,-78.1306085",0.4954651,-78.1306085,819414,10054833,CANTONAL,,,89,2075,,28.5,35,,
20-011001262,20-011001262,Item,11001262,IMBABURA,IBARRA,SAN ANTONIO,10D01,1,Centro de Salud No. 1,San Antonio,AMBULATORIO,1,16827,1er. ORDEN,BOLIVAR Y FRANCISCO TERAN,62932576,CSR,1ER NIVEL,,,"0.3340413,-78.1695854",0.3340413,-78.1695854,815078,10036967,CANTONAL,,,,17131,92,10,15,,
21-,21-,Item,,IMBABURA,IBARRA,SAN FRANCISCO,10D01,1,Por determinar,Cts (Saiss),,1,Desconocido,,,,CS,,,,,,,,,CANTONAL,,,,,,,,,
22-011006250,22-011006250,Item,11006250,IMBABURA,SAN MIGUEL DE URCUQUI,URCUQUI,10D01,1,Centro de Salud No. 1,Urcuquí,AMBULATORIO,1,5413,1er. ORDEN,GUZMAN,62939243,CSU,1ER NIVEL,,,"0.4220708,-78.1913237",0.4220708,-78.1913237,812653,10046708,CANTONAL,,,,5510,98,19.7,40,,Frente al colegio técnico
23-011006251,23-011006251,Item,11006251,IMBABURA,SAN MIGUEL DE URCUQUI,CAHUASQUI,10D01,1,Centro de Salud No. 1,Cahuasquí,AMBULATORIO,1,2255,2do. ORDEN,CORDOVA Y BOLIVAR,62608104,CSR,1ER NIVEL,,,"0.5149278,-78.2101639",0.5149278,-78.2101639,810550,10056983,CANTONAL,,,,2295,92,49.2,100,,
24-011006252,24-011006252,Item,11006252,IMBABURA,SAN MIGUEL DE URCUQUI,PABLO ARENAS,10D01,1,Centro de Salud No. 1,Pablo Arenas,AMBULATORIO,1,246,3er. ORDEN,ELOY GORDILLO y Sucre,62683081,CSR,1ER NIVEL,,,"0.5013293,-78.1924146",0.5013293,-78.1924146,812528,10055479,CANTONAL,,,,2505,93,40.9,120,,
25-011006253,25-011006253,Item,11006253,IMBABURA,SAN MIGUEL DE URCUQUI,SAN BLAS,10D01,1,Centro de Salud No. 1,San Blas,AMBULATORIO,1,3369,2do. ORDEN,CARLOS DE LA TORRE S/N,62939380,CSR,1ER NIVEL,,,"0.4158691,-78.2089372",0.4158691,-78.2089372,810691,10046021,CANTONAL,,,,3429,99,24.7,50,,
26-011006254,26-011006254,Item,11006254,IMBABURA,SAN MIGUEL DE URCUQUI,TUMBABIRO,10D01,1,Centro de Salud No. 1,Tumbabiro,AMBULATORIO,1,1928,2do. ORDEN,SUCREAYORA,62934199,CSR,1ER NIVEL,,,"0.4649382,-78.1884531",0.4649382,-78.1884531,812971,10051452,CANTONAL,,,,1963,90,31.2,60,Veintimilla y Sucre s/n,
27-011006450,27-011006450,Item,11006450,IMBABURA,SAN MIGUEL DE URCUQUI,LA MERCED DE BUENOS AIRES,10D01,1,Centro de Salud No. 1,Buenos Aires,AMBULATORIO,1,1877,3er. ORDEN,CALLE MOSQUERA,,PS,1ER NIVEL,,,"0.6168152,-78.3162317",0.6168152,-78.3162317,798729,1006825200001,CANTONAL,,,78,1911,,90,240,,
28-011005250,28-011005250,Item,11005250,IMBABURA,PIMAMPIRO,PIMAMPIRO,10D01,1,Centro de Salud No. 1,Pimampiro,AMBULATORIO,1,9178,1er. ORDEN,13 DE DICIEMBRE,62937244,CSU,1ER NIVEL,,,"0.3899276,-77.9424100",0.3899276,-77.94241,84038806096,1004316057748,CANTONAL,,,,8824,92,60.5,120,La taquilla y Juan Montalvo 7090,
29-011005251,29-011005251,Item,11005251,IMBABURA,PIMAMPIRO,MARIANO ACOSTA,10D01,1,Centro de Salud No. 1,Mariano Acosta,AMBULATORIO,1,2398,3er. ORDEN,LUIS FIERRO,62680114,CSR,1ER NIVEL,,,"0.2968263,-77.9815654",0.2968263,-77.9815654,8360282287,1003285411542,CANTONAL,,,89,2441,,74.3,150,Francisco Fierro y Río Cepeda,
